timestamp,question_id,question_text,category,result
2025-11-09T16:43:02.745640,2,What type of device do you use to access your account?,Account,Pass
2025-11-09T16:43:02.747470,14,What county do you live in?,Personal,Pass
2025-11-09T16:43:02.750573,22,Did anyone ask you to move money for “safety” reasons?,APP,Fail
2025-11-09T16:51:26.105321,4,"In the past 6 months you made a transaction with an Airline, which airline?",Account,Pass
2025-11-09T16:51:26.106037,12,How old are you?,Personal,Pass
2025-11-09T16:51:26.106686,19,Have you been contacted by someone claiming to be from our bank recently?,APP,Pass
2025-11-09T16:52:49.922167,7,What are the last four digits of your account number?,Account,Pass
2025-11-09T16:52:49.923005,14,What county do you live in?,Personal,Pass
2025-11-09T16:52:49.923797,22,Did anyone ask you to move money for “safety” reasons?,APP,Pass
2025-11-09T16:52:55.540827,9,What is the name of your secondary cardholder?,Account,Pass
2025-11-09T16:52:55.542033,16,Have you changed your address in the last 12 months?,Personal,Pass
2025-11-09T16:52:55.543292,19,Have you been contacted by someone claiming to be from our bank recently?,APP,Pass
2025-11-09T16:53:01.912935,7,What are the last four digits of your account number?,Account,Fail
2025-11-09T16:53:01.914119,16,Have you changed your address in the last 12 months?,Personal,Fail
2025-11-09T16:53:01.915375,21,"Have you given remote access to your device to anyone (e.g., via AnyDesk)?",APP,Pass
2025-11-09T16:53:08.232374,2,What type of device do you use to access your account?,Account,Fail
2025-11-09T16:53:08.234012,13,What is your star sign?,Personal,Fail
2025-11-09T16:53:08.235939,21,"Have you given remote access to your device to anyone (e.g., via AnyDesk)?",APP,Fail
2025-11-09T16:53:13.986199,8,Have you used your card abroad in the past 12 months?,Account,Fail
2025-11-09T16:53:13.987997,18,(London Only) what is your nearest Tube station?,Personal,Fail
2025-11-09T16:53:13.989935,19,Have you been contacted by someone claiming to be from our bank recently?,APP,Pass
2025-11-09T16:53:16.889109,8,Have you used your card abroad in the past 12 months?,Account,Fail
2025-11-09T16:53:16.890042,18,(London Only) what is your nearest Tube station?,Personal,Fail
2025-11-09T16:53:16.891536,19,Have you been contacted by someone claiming to be from our bank recently?,APP,Fail
2025-11-09T16:53:22.247334,5,How do you make payment into the account?,Account,Pass
2025-11-09T16:53:22.248353,12,How old are you?,Personal,Pass
2025-11-09T16:53:22.249265,23,Have you been asked to invest or transfer funds by someone you met online?,APP,Fail
2025-11-09T16:53:26.154168,6,Do you have any other NewDay accounts?,Account,Pass
2025-11-09T16:53:26.155243,18,(London Only) what is your nearest Tube station?,Personal,Pass
2025-11-09T16:53:26.156354,20,Have you been contacted by someone claiming to be a family member and asked to make this transaction?,APP,Fail
2025-11-09T17:56:29.225189,4,"In the past 6 months you made a transaction with an Airline, which airline?",Account,Pass
2025-11-09T17:56:29.229649,16,Have you changed your address in the last 12 months?,Personal,Pass
2025-11-09T17:56:29.234601,19,Have you been contacted by someone claiming to be from our bank recently?,APP,Fail
